This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200503  ,-2.82  ,-1.81  ,-2.71  ,-2.38  ,-1.98  ,-2.83
200504  ,-1.96  ,-1.63  ,-2.05  ,-1.78  ,-2.65  ,-2.90
200505  ,-1.08  ,-0.77  ,-1.09   ,0.84   ,0.10   ,0.19
200506   ,3.11   ,2.34   ,2.66   ,1.57   ,1.33   ,2.19
200507   ,4.32   ,4.43   ,4.95   ,3.43   ,4.45   ,3.80
200508   ,4.70   ,3.19   ,4.82   ,2.73   ,2.09   ,1.44
200509   ,1.44   ,1.24   ,1.98   ,0.44   ,2.47   ,1.96
200510  ,-3.68  ,-3.72  ,-4.44  ,-1.69  ,-3.70  ,-3.17
200511   ,1.28   ,1.20   ,1.50  ,-0.06   ,2.02   ,2.72
200512   ,5.18   ,3.86   ,5.10   ,3.38   ,4.30   ,4.26
200601   ,7.80   ,8.58  ,10.07   ,5.10   ,6.85   ,7.19
200602   ,3.35   ,2.79   ,2.63  ,-0.47   ,0.35   ,2.33
200603   ,5.85   ,4.62   ,5.36   ,4.56   ,3.90   ,4.58
200604   ,7.15   ,6.93   ,7.88   ,5.75   ,5.62   ,4.68
200605  ,-4.29  ,-2.79  ,-5.14  ,-2.09  ,-3.51  ,-3.32
200606  ,-2.05  ,-1.05  ,-1.26   ,0.32   ,0.12   ,0.94
200607   ,0.32  ,-0.03  ,-0.77   ,0.69   ,2.05   ,1.51
200608   ,2.72   ,3.20   ,3.22   ,3.50   ,2.61   ,3.76
200609   ,1.76   ,1.50   ,0.58   ,1.67   ,0.68   ,1.34
200610   ,4.33   ,4.61   ,4.45   ,3.84   ,4.10   ,4.70
200611   ,6.40   ,6.37   ,6.33   ,4.42   ,3.65   ,4.07
200612   ,4.44   ,4.21   ,5.29   ,3.96   ,3.10   ,4.28
200701   ,3.25   ,3.05   ,2.49   ,0.99   ,0.95   ,0.59
200702   ,1.08   ,1.57   ,0.80   ,0.55  ,-0.56  ,-0.44
200703   ,4.94   ,4.75   ,4.49   ,3.91   ,4.25   ,3.93
200704   ,5.28   ,6.40   ,5.69   ,6.48   ,6.08   ,5.49
200705   ,1.51   ,1.72   ,0.86   ,3.14   ,1.72   ,1.63
200706  ,-0.32  ,-0.67  ,-0.17   ,0.41   ,0.80  ,-0.65
200707  ,-0.37  ,-0.11  ,-0.11  ,-2.26  ,-2.05  ,-1.48
200708  ,-4.58  ,-3.86  ,-4.47   ,0.21  ,-2.30  ,-1.96
200709   ,1.21   ,1.94   ,2.46   ,5.74   ,4.91   ,6.21
200710   ,4.02   ,4.81   ,5.53   ,4.40   ,4.30   ,5.67
200711  ,-7.86  ,-6.70  ,-8.56  ,-1.95  ,-3.78  ,-4.34
200712  ,-3.06  ,-2.34  ,-2.99  ,-1.15  ,-1.94  ,-2.32
200801  ,-8.61  ,-8.44 ,-10.49  ,-9.32  ,-9.91 ,-10.62
200802   ,4.04   ,4.70   ,4.64   ,1.07   ,1.90   ,3.04
200803   ,0.10   ,1.03  ,-1.27   ,0.05   ,0.15   ,1.85
200804   ,2.25   ,1.88   ,2.33   ,4.07   ,5.09   ,5.59
200805   ,1.10   ,1.13   ,1.95   ,1.26   ,0.16   ,2.13
200806  ,-6.57  ,-5.76  ,-7.49  ,-7.77  ,-9.03  ,-9.52
200807  ,-3.71  ,-4.80  ,-6.76  ,-4.13  ,-3.22  ,-3.27
200808  ,-2.85  ,-4.29  ,-4.93  ,-3.61  ,-4.55  ,-5.15
200809 ,-15.59 ,-15.43 ,-20.30 ,-12.04 ,-14.08 ,-18.19
200810 ,-24.46 ,-25.16 ,-29.52 ,-21.69 ,-18.81 ,-25.79
200811  ,-8.36  ,-7.31  ,-9.37  ,-3.47  ,-8.25  ,-8.80
200812   ,7.42   ,5.67   ,3.40   ,8.92   ,6.11   ,5.76
200901  ,-7.88  ,-7.18  ,-5.72 ,-13.14 ,-10.19 ,-11.56
200902  ,-6.89  ,-5.65  ,-6.30  ,-9.53 ,-11.30  ,-9.30
200903   ,4.22   ,4.46   ,5.82   ,5.46   ,7.07   ,9.38
200904  ,14.43  ,15.44  ,18.17  ,12.47  ,12.87  ,15.84
200905  ,13.72  ,12.90  ,14.57  ,10.87  ,12.48  ,15.36
200906  ,-1.22  ,-0.32  ,-0.09  ,-1.33  ,-1.64  ,-3.35
200907   ,7.16   ,7.28   ,7.71  ,10.37  ,10.79  ,10.34
200908  ,10.41   ,8.50   ,6.93   ,5.22   ,6.57   ,3.75
200909   ,7.37   ,7.38   ,6.92   ,5.77   ,5.82   ,3.80
200910  ,-1.53  ,-0.52  ,-0.36  ,-1.11  ,-2.90  ,-1.56
200911   ,1.09   ,1.62   ,0.19   ,3.09   ,3.96   ,2.32
200912  ,-1.37  ,-0.98  ,-0.24   ,2.09   ,0.51   ,0.97
201001  ,-0.82  ,-1.24  ,-1.39  ,-5.44  ,-6.60  ,-4.79
201002  ,-3.53  ,-2.23  ,-3.02  ,-1.86  ,-2.58  ,-1.31
201003   ,6.28   ,6.09   ,5.68   ,5.98   ,6.25   ,7.35
201004   ,0.83   ,0.24   ,1.08  ,-2.56  ,-1.85  ,-1.34
201005 ,-14.19 ,-11.56 ,-12.56 ,-11.90 ,-12.08 ,-11.84
201006  ,-2.01  ,-0.54  ,-0.66  ,-1.41  ,-0.83  ,-0.55
201007  ,10.11  ,10.79  ,11.19  ,13.45  ,12.22  ,10.43
201008  ,-5.01  ,-4.28  ,-4.16  ,-5.78  ,-4.38  ,-2.41
201009  ,13.15  ,12.31  ,11.48  ,11.75  ,12.14  ,10.31
201010   ,5.70   ,5.01   ,5.21   ,3.84   ,5.58   ,4.98
201011  ,-7.04  ,-7.83  ,-7.04  ,-7.90  ,-8.22  ,-8.14
201012  ,12.11  ,11.16   ,9.55   ,8.90   ,8.64   ,9.11
201101   ,4.59   ,3.26   ,3.78   ,4.51   ,3.72   ,2.70
201102   ,2.48   ,2.23   ,1.75   ,3.18   ,2.78   ,3.79
201103   ,1.47   ,1.78   ,1.32  ,-1.22   ,0.23  ,-0.36
201104   ,7.60   ,6.84   ,6.55   ,8.12   ,8.66   ,7.80
201105  ,-2.68  ,-2.95  ,-3.49  ,-4.26  ,-2.90  ,-2.23
201106  ,-3.61  ,-3.19  ,-2.89  ,-2.78  ,-1.26  ,-2.11
201107  ,-3.36  ,-3.18  ,-3.02  ,-2.64  ,-4.57  ,-2.01
201108 ,-10.15  ,-8.97  ,-9.24 ,-10.35 ,-10.95  ,-9.02
201109 ,-12.60 ,-12.59 ,-13.09 ,-10.14 ,-11.57 ,-12.53
201110   ,7.23   ,7.83   ,8.21   ,8.38  ,11.77  ,13.39
201111  ,-7.59  ,-6.93  ,-7.49  ,-4.92  ,-4.66  ,-4.17
201112  ,-3.49  ,-2.87  ,-2.93  ,-1.66  ,-1.90  ,-2.75
201201   ,7.71   ,8.22   ,8.95   ,4.09   ,5.14   ,7.06
201202   ,7.16   ,7.12   ,8.94   ,6.83   ,5.86   ,6.57
201203   ,0.91   ,0.98   ,0.13   ,1.43  ,-0.14  ,-1.07
201204  ,-1.48  ,-1.01  ,-1.26  ,-2.17  ,-3.27  ,-1.06
201205 ,-11.77 ,-12.22 ,-12.56 ,-11.44 ,-12.03 ,-13.43
201206   ,4.05   ,3.60   ,2.44   ,8.36   ,8.12   ,5.93
201207  ,-1.90  ,-0.82   ,0.00  ,-0.53   ,0.77   ,1.89
201208   ,6.37   ,4.39   ,3.72   ,4.24   ,4.95   ,3.93
201209   ,5.93   ,5.44   ,4.55   ,3.23   ,3.58   ,2.97
201210   ,1.64   ,1.48   ,0.58   ,0.43   ,2.21   ,2.15
201211  ,-0.35   ,0.78  ,-0.41   ,1.64   ,2.40   ,3.56
201212   ,6.46   ,5.64   ,4.97   ,2.89   ,3.57   ,2.73
201301   ,8.11   ,7.38   ,6.05   ,6.80   ,6.24   ,5.33
201302  ,-2.44  ,-0.64   ,0.20  ,-2.63  ,-2.71  ,-2.57
201303  ,-2.62  ,-1.35  ,-0.94   ,0.43  ,-0.71  ,-0.70
201304   ,3.47   ,3.59   ,2.37   ,4.98   ,4.24   ,3.66
201305   ,2.24   ,2.71   ,1.92   ,0.74   ,0.78   ,1.33
201306  ,-3.54  ,-2.48  ,-2.82  ,-3.84  ,-5.00  ,-5.47
201307   ,6.55   ,6.34   ,6.12   ,7.65   ,7.58   ,7.51
201308   ,1.98   ,1.98   ,1.26   ,0.13  ,-1.60  ,-0.98
201309   ,8.25   ,6.53   ,7.10   ,8.25   ,6.88   ,6.27
201310   ,5.60   ,4.91   ,3.47   ,4.92   ,4.81   ,3.54
201311   ,1.80   ,1.89   ,2.15   ,2.08   ,1.29   ,0.47
201312   ,3.07   ,2.86   ,2.75   ,2.57   ,2.15   ,2.32
201401   ,1.21   ,0.17  ,-0.12  ,-2.12  ,-3.25  ,-4.90
201402   ,8.84   ,7.20   ,7.54   ,7.14   ,8.02   ,6.54
201403   ,0.57   ,0.18  ,-0.47  ,-1.39  ,-0.17  ,-0.58
201404  ,-0.26  ,-0.07   ,0.11   ,0.56   ,2.53   ,2.47
201405  ,-0.17   ,0.27   ,0.30   ,0.46   ,1.10   ,0.78
201406  ,-0.25  ,-0.12   ,0.11  ,-1.27   ,0.25   ,0.29
201407  ,-4.66  ,-4.46  ,-4.72  ,-3.40  ,-4.40  ,-4.14
201408  ,-1.35  ,-1.03  ,-0.28  ,-0.21   ,0.15   ,0.26
201409  ,-6.37  ,-5.20  ,-5.49  ,-2.42  ,-4.16  ,-4.07
201410  ,-4.35  ,-3.39  ,-3.97  ,-3.25  ,-2.11  ,-2.58
201411   ,1.47   ,0.78   ,0.43   ,1.98   ,2.27   ,2.53
201412  ,-2.68  ,-1.27  ,-1.31  ,-5.34  ,-3.47  ,-2.84
201501  ,-1.98  ,-1.70  ,-2.04  ,-1.95   ,0.95   ,0.25
